driver_id,timestamp,hour,is_peak,is_weekend,ride_type,distance,traffic,fuel_price,surge,revenue,profit
DRV_0016,2026-01-02T13:25:30.751970,13,0,0,outstation,23.72,9.6,108.3,1.3,389.58,-66.84
DRV_0044,2026-04-18T11:39:30.751970,11,0,1,airport,5.37,8.8,105.03,1.4,361.2,262.71
DRV_0003,2026-01-26T13:49:30.751970,13,0,0,peak_city,3.19,9.7,110.81,1.1,58.66,-13.12
DRV_0033,2026-06-07T14:13:30.751970,14,0,1,local,19.65,5.7,100.8,1.1,325.83,41.72
DRV_0046,2026-01-11T15:51:30.751970,15,0,1,local,37.49,2.3,97.3,1.2,607.82,187.48
DRV_0015,2025-12-29T17:52:30.751970,17,1,0,peak_city,13.58,5.6,104.81,1.1,195.77,-1.45
DRV_0049,2026-02-19T22:09:30.751970,22,0,0,airport,37.24,2.5,91.63,1.5,892.78,444.27
DRV_0018,2026-05-04T17:59:30.751970,17,1,0,outstation,41.69,5.0,93.05,2.0,1030.45,483.53
DRV_0007,2026-05-06T09:38:30.751970,9,1,0,outstation,3.99,9.2,96.47,2.3,144.75,78.83
DRV_0023,2026-05-22T04:20:30.751970,4,0,0,outstation,33.71,2.7,114.24,1.4,587.31,100.47
DRV_0047,2026-01-11T07:35:30.751970,7,1,1,airport,56.49,9.1,104.95,2.8,2190.1,1177.36
DRV_0006,2026-02-16T23:19:30.751970,23,0,0,peak_city,24.54,3.4,110.72,1.2,371.42,37.2
DRV_0037,2026-01-24T06:33:30.751970,6,0,1,outstation,18.29,5.9,93.52,1.4,378.34,115.69
DRV_0043,2026-04-25T18:22:30.751970,18,1,1,airport,2.32,8.3,107.67,2.5,357.11,329.93
DRV_0007,2026-04-17T07:21:30.751970,7,1,0,local,46.73,1.7,98.96,1.2,690.96,141.58
DRV_0011,2026-03-09T07:57:30.751970,7,1,0,outstation,21.19,1.6,97.77,1.7,457.82,227.55
DRV_0045,2026-03-12T05:13:30.751970,5,0,0,outstation,44.32,6.7,112.18,1.2,656.17,-25.33
DRV_0035,2025-12-21T20:22:30.751970,20,1,1,local,46.13,6.1,109.27,2.0,1187.01,491.91
DRV_0018,2026-04-13T10:57:30.751970,10,0,0,peak_city,32.32,4.8,90.64,1.1,443.1,32.7
DRV_0044,2026-01-01T17:51:30.751970,17,1,0,local,20.23,5.6,112.69,1.5,386.69,83.69
DRV_0021,2026-03-23T15:12:30.751970,15,0,0,airport,25.8,7.8,95.72,1.0,524.63,108.15
DRV_0037,2026-03-04T08:22:30.751970,8,1,0,local,55.92,8.3,105.84,2.7,1852.39,904.25
DRV_0026,2026-03-26T09:45:30.751970,9,1,0,peak_city,48.61,2.7,112.31,2.1,1256.55,602.89
DRV_0009,2026-01-01T02:17:30.751970,2,0,0,outstation,15.22,4.8,110.45,1.4,276.7,55.98
DRV_0048,2026-04-11T16:51:30.751970,16,0,1,outstation,2.4,5.6,100.44,1.1,98.22,58.02
DRV_0024,2026-01-16T02:29:30.751970,2,0,0,peak_city,56.69,3.9,102.97,1.4,973.37,216.16
DRV_0006,2026-04-19T11:54:30.751970,11,0,1,peak_city,23.09,9.7,114.06,1.1,371.29,-124.83
DRV_0044,2026-06-02T13:17:30.751970,13,0,0,local,18.52,1.3,105.24,1.3,308.42,81.83
DRV_0025,2026-02-25T21:22:30.751970,21,0,0,peak_city,4.99,3.5,112.71,1.1,82.31,14.14
DRV_0036,2026-01-13T01:53:30.751970,1,0,0,outstation,59.17,3.2,106.8,1.4,1015.02,222.72
DRV_0044,2026-06-11T18:40:30.751970,18,1,0,airport,15.78,7.6,99.19,2.3,670.11,437.67
DRV_0008,2026-01-28T07:37:30.751970,7,1,0,outstation,7.24,8.5,98.02,1.4,142.58,66.32
DRV_0001,2026-03-31T03:16:30.751970,3,0,0,peak_city,4.36,6.3,106.94,1.0,67.38,-28.41
DRV_0033,2026-04-07T23:38:30.751970,23,0,0,local,39.42,2.6,107.27,1.2,585.65,83.3
DRV_0010,2026-05-17T20:07:30.751970,20,1,1,local,56.33,2.2,98.53,1.2,879.16,215.53
DRV_0039,2026-03-11T10:52:30.751970,10,0,0,airport,49.4,6.0,103.24,1.1,868.57,135.22
DRV_0024,2026-03-24T01:25:30.751970,1,0,0,airport,7.4,9.1,112.51,1.3,334.94,173.84
DRV_0037,2026-03-28T09:23:30.751970,9,1,1,local,44.11,9.1,112.18,2.6,1465.09,626.99
DRV_0005,2026-05-25T13:40:30.751970,13,0,0,peak_city,39.24,1.8,94.04,1.4,680.2,230.89
DRV_0036,2026-01-29T12:18:30.751970,12,0,0,peak_city,2.29,2.4,103.72,1.3,55.28,12.34
DRV_0014,2026-05-03T07:53:30.751970,7,1,1,peak_city,39.81,3.0,107.8,1.5,789.15,294.95
DRV_0046,2026-01-26T16:42:30.751970,16,0,0,local,39.68,8.6,106.44,1.3,638.49,-65.73
DRV_0029,2026-03-27T03:44:30.751970,3,0,0,outstation,7.43,4.3,96.63,1.1,114.62,17.53
